"ISO 3 Letter Code","SURVEYED COUNTRY","YEAR OF DATA","R_BOTH 
WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","NR_BOTH
  NUMBERS WHERE BOTH RANGER AND NON RANGER NUMBERS ARE LISTED
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS NON RANGERS","R_ONLY
 NUMBERS WHERE ONLY RANGERS ARE LISTED (NON RANGER NUMBERS NOT PROVIDED)
NUMBERS WHO ARE SPECIFICALLY IDENTIFIED AS RANGERS","RNR_UND
NUMBERS PROVIDED AS AN UNDIFFERENTIATED TOTAL (COMBINED RANGERS AND NON RANGERS)","RNRT_1
TOTAL SURVEYED STAFF  (SUM D,E,F,G)","AREA OF PAs REPORTED  SURVEYED IN STAFF SURVEY SQ KM","AREA OF TERRESTRIAL PAS IN THE COUNTRY USED FOR CALCULATIONS (Higlighted IF DIFFERENT FROM WDPA)","TOTAL AREA OF TERRESTRIAL PAS IN THE COUNTRY in SQ KM (WDPA )","TOTAL TERRESTRIAL AREA OF  COUNTRY (WDPA)","RELIABILITY SCORE /25","UN CONT","UN SUBCONT","Forest_area_percent_total","Ecosystem Vitality Index (EVI New)","Species Protection Index (SPI.new )","EPI.new_2020","GDP_Per Capita","GDP_2019","GDP_growth","Unemployment_total","Rural_population_percentage","Adjusted net national income per capita","Population Density","PROPORTION IUCN CAT (I-IV)/(I-VI)","PROPORTION IUCN CAT (I-II)/(I-VI)","Notes"
"ABW","Aruba","2018",16,34,NA,NA,50,36,36,36,189,24,419,29,2.33333326048321,NA,NA,NA,29007.6930034887,NA,1.9999991044233,8.89999961853027,56.454,24399.6932501472,588.027777777778,NA,NA,"GDP_growth 2017; Unemployment_total 2011; Pop. density 2018; Income 2017; GDP_per.capita_2017; Forest%_2016"
"AFG","Afghanistan","2020",62,5,NA,NA,67,11481,23384,23384,642899,23,142,34,2.06782464846981,29.2,18,25.5,502.115486913067,19101353833,2.901228964,11.1836004257202,74.246,458.370737755325,56.937760009803,0.805189,0.737324,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"AGO","Angola","2019",232,44,NA,NA,276,87507,87507,87507,1255218,25,2,17,46.3072104104837,35.9,66.6,29.7,2973.59115979868,94635415870,-0.86939379,7.3621997833252,33.823,1028.56471859024,24.7130520574316,0.997396,0.822886,"Unemployment_total 2011; Pop. density 2018; Income 2018; Forest%_2016"
"AIA","Anguilla","2020",0,3,NA,NA,3,10,10,10,86,17,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,"Source for pop. density (2020): https://www.worldometers.info/world-population/anguilla-population/"
"ALB","Albania","2017",111,163,NA,NA,274,4428,5344,5344,28747,21,150,39,28.1218970082972,52,92.2,49,5352.85741103671,15278077447,2.214063153,11.4654998779297,38.771,4201.07708408373,104.612262773723,0.796446,0.489449,"Pop. density 2018; Income 2018; Forest%_2016"
"ARE","United Arab Emirates","2019",390,5,NA,NA,395,13724,13724,13724,70921,18,142,145,4.55730785218402,55.9,80.3,55.6,43103.3230583165,4.21142e+11,1.677720371,2.22699999809265,13.211,39977.6915584674,135.609110109828,0.95564,0.025451,"Pop. density 2018; Income 2018; Forest%_2016"
"ARG","Argentina","2020",NA,NA,1043,NA,1043,156112,236109,236109,2785328,20,419,5,9.79840581825125,46.8,64.3,52.2,10006.1489736082,4.49663e+11,-2.16295212,9.84270000457764,8.009,9631.76369093399,16.2585100979651,0.310485,0.300624,"Pop. density 2018; Income 2018; Forest%_2016"
"ARM","Armenia","2014",759,625,NA,NA,1384,5160,7215,7215,29685,20,142,145,11.6684233300678,58.1,74.5,52.3,4622.73349328671,13672802158,7.6,18.9659004211426,36.781,3533.88353144239,103.680224798033,NA,NA,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"ATG","Antigua and Barbuda","2020",0,6,NA,NA,6,96,96,96,455,17,419,29,22.2727277062156,43.8,NA,48.5,17790.309306815,1727759259,4.65040225,8.42000007629395,75.494,NA,218.831818181818,0.057143,0.04881,"Unemployment_total 2011; Pop. density 2018; Forest%_2016; SPI=censored"
"AUS","Australia","2019",4742,3483,NA,NA,8225,1414187,1570580,1570580,7722102,20,9,53,16.2582780595994,63.8,92.4,74.9,54907.1019101424,1.39268e+12,1.89682574,5.15999984741211,13.876,43345.8711026031,3.24787091037205,0.329868,0.306778,"Pop. density 2018; Income 2018; Forest%_2016"
"AUT","Austria","2020",179,177,NA,NA,356,2871,24414,24414,83912,20,150,155,46.9057128369164,74,81.2,79.6,50277.2750874213,4.46315e+11,1.612959328,4.48659992218018,41.485,42094.9970111155,107.127966860564,0.11038,0.003858,"Pop. density 2018; Income 2018; Forest%_2016"
"AZE","Azerbaijan","2014",312,216,NA,NA,528,3718,8798,8798,86640,19,142,145,14.0996733412023,55.7,77.3,46.5,4793.58701966989,48047647059,2.218704277,4.84999990463257,43.969,3298.41073543451,120.23431716463,1,0.510065,"Pop. density 2018; Income 2018; Forest%_2016"
"BDI","Burundi","2019",273,26,NA,NA,299,2066,2066,2066,27211,25,2,14,10.9267915149344,30.5,67.1,27,261.247472515742,3012334882,1.842476677,1.57169997692108,86.634,205.600481351323,435.178271028037,0.913374,0.907885,"Unemployment_total 2014; Pop. density 2018; Income 2018; Forest%_2016"
"BEL","Belgium","2020/2017",38,38,NA,NA,76,4124.3,4733,4733,30683,23,150,155,22.5838846385558,64.8,100,73.3,46116.69923368,5.29607e+11,1.404455201,5.35970020294189,1.959,38859.971074517,377.379590488771,0.147422,0,"Pop. density 2018; Income 2018; Forest%_2016"
"BEN","Benin","2020",492,18,NA,NA,510,12800,34415,34415,116095,22,2,11,37.7882227740334,36.4,87.6,30,1219.43267185875,14390709095,6.865687335,2.64650011062622,52.139,1007.97267878576,101.853919829727,0.000208,0.000208,"Unemployment_total 2011; Pop. density 2018; Income 2018; Forest%_2016"
"BFA","Burkina Faso","2019",777,56,NA,NA,833,41158,45403,45403,276404,25,2,11,19.335527029651,50.9,99.6,38.3,774.8396902346,15745810235,5.688598986,4.69490003585815,70.02,605.120341792894,72.1912828947368,0.994709,0.032947,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"BGD","Bangladesh","2107",NA,NA,820,NA,820,6456,6456,6456,140160,19,142,34,10.9579782162869,52.2,52.2,29,1855.73982408046,3.02571e+11,8.152684947,4.37230014801025,62.595,1618.95996227485,1239.57931166936,0.996468,0.589179,"Unemployment_total 2017; Pop. density 2018; Income 2018; Forest%_2016"
"BGR","Bulgaria","2019",173,173,NA,NA,346,45503,45503,45503,110863,24,150,151,35.3739862856658,61.5,100,57,9737.60135083347,67927179737,3.371615546,4.22989988327026,24.653,8148.28832754398,64.7110998526161,0.588093,0.001452,"Pop. density 2018; Forest%_2016"
"BHS","Bahamas","2020",13,14,NA,NA,27,4930,4930,4930,13458,23,419,29,51.4485514485514,37,32.5,43.5,32933.4860147581,1.2827e+10,1.799255621,10,16.868,24321.4953367811,38.5254745254745,1,1,"Unemployment_total 2018; Pop. density 2018; Income 2018; Forest%_2016"
"BIH","Bosnia and Herzegovina","2014",73,90,NA,NA,163,862,1858,1858,51225,19,150,39,42.67578125,46.4,41.5,45.4,6073.26520283208,20047848435,2.582627866,15.692099571228,51.374,5176.74836067831,64.92048828125,0.904808,0.471826,"Pop. density 2018; Income 2018; Forest%_2016"
