"Variable","Rangers Log","Non-rangers Log","All PA Personnel Log","PA Area Log","Pop Density Log","Area Country Log","Long","Lat","Area Forest Pct","GDP 2019 Log","GDP Capita Log","GDP Growth","Unemployment Log","EVI","EPI 2020","SPI","IUCN 1 4 Prop","IUCN 1 2 Prop"
"Rangers Log",1,0.84,0.97,0.86,-0.16,0.8,0.13,0.02,-0.07,0.66,-0.07,0.2,-0.21,0.08,0.02,0.13,0.02,-0.03
"Non-rangers Log",0.84,1,0.93,0.77,-0.13,0.71,0.14,0.21,-0.04,0.75,0.21,0.16,-0.09,0.29,0.31,0.15,-0.06,-0.06
"All PA Personnel Log",0.97,0.93,1,0.88,-0.16,0.81,0.12,0.11,-0.05,0.74,0.05,0.19,-0.2,0.17,0.15,0.15,-0,-0.05
"PA Area Log",0.86,0.77,0.88,1,-0.44,0.93,0.13,0.09,0.02,0.68,-0.21,0.11,-0.1,0.2,0.11,0.39,-0.06,0.01
"Pop Density Log",-0.16,-0.13,-0.16,-0.44,1,-0.49,0.07,0.15,-0.14,-0.02,0.22,0.03,-0.12,0,0.08,-0.04,-0.01,-0.08
"Area Country Log",0.8,0.71,0.81,0.93,-0.49,1,0.17,0.08,-0.1,0.65,-0.35,0.09,-0.05,0.06,-0.03,0.11,-0,0.06
"Long",0.13,0.14,0.12,0.13,0.07,0.17,1,0.07,0.01,0.06,-0.1,0.14,-0.2,-0.08,-0.1,-0.12,-0.12,-0.07
"Lat",0.02,0.21,0.11,0.09,0.15,0.08,0.07,1,-0.17,0.35,0.41,0.07,-0.12,0.5,0.53,0.21,-0.07,-0.14
"Area Forest Pct",-0.07,-0.04,-0.05,0.02,-0.14,-0.1,0.01,-0.17,1,-0.16,0.08,-0.13,-0.02,0.07,0.05,0.19,-0.2,-0.1
"GDP 2019 Log",0.66,0.75,0.74,0.68,-0.02,0.65,0.06,0.35,-0.16,1,0.34,-0.03,-0.23,0.46,0.54,0.23,-0.07,-0.03
"GDP Capita Log",-0.07,0.21,0.05,-0.21,0.22,-0.35,-0.1,0.41,0.08,0.34,1,-0.22,-0.11,0.63,0.84,0.22,-0.17,-0.15
"GDP Growth",0.2,0.16,0.19,0.11,0.03,0.09,0.14,0.07,-0.13,-0.03,-0.22,1,-0.14,-0.14,-0.22,0,0.07,-0.06
"Unemployment Log",-0.21,-0.09,-0.2,-0.1,-0.12,-0.05,-0.2,-0.12,-0.02,-0.23,-0.11,-0.14,1,0.07,-0.02,-0.02,0.06,0.15
"EVI",0.08,0.29,0.17,0.2,0,0.06,-0.08,0.5,0.07,0.46,0.63,-0.14,0.07,1,0.88,0.56,-0.29,-0.28
"EPI 2020",0.02,0.31,0.15,0.11,0.08,-0.03,-0.1,0.53,0.05,0.54,0.84,-0.22,-0.02,0.88,1,0.44,-0.26,-0.21
"SPI",0.13,0.15,0.15,0.39,-0.04,0.11,-0.12,0.21,0.19,0.23,0.22,0,-0.02,0.56,0.44,1,-0.14,-0.24
"IUCN 1 4 Prop",0.02,-0.06,-0,-0.06,-0.01,-0,-0.12,-0.07,-0.2,-0.07,-0.17,0.07,0.06,-0.29,-0.26,-0.14,1,0.58
"IUCN 1 2 Prop",-0.03,-0.06,-0.05,0.01,-0.08,0.06,-0.07,-0.14,-0.1,-0.03,-0.15,-0.06,0.15,-0.28,-0.21,-0.24,0.58,1
