"ISO Code","Country/territory","Total area of terrestrial PAs in country/territory (km^2) World Database on Protected Areas 2020","Year(s) of the data","Area of terrestrial PA surveyed (km^2)","Percentage of the total terrestrial PA area of the country/territory surveyed","All personnel in surveyed area","Rangers in surveyed area","Non-rangers in surveyed area","Observed densities for all personnel in surveyed area( km^2 of PA per person)","Observed densities for rangers in surveyed area (km^2 of PA per person)","Total personnel","Total rangers","Density of all personnel (km^2 of PA per person))","Density of rangers (km^2 of PA per person)"
"ABW","Aruba",36,"2018",36,100,50,16,34,0.7,2.2,50,16,0.7,2.2
"AFG","Afghanistan",23384,"2020",11481,49.1,67,62,5,171.4,185.2,136,126,171.4,185.2
"AGO","Angola",87507,"2019",87507,100,276,232,44,317.1,377.2,276,232,317.1,377.2
"AIA","Anguilla",10,"2020",10,100,3,0,3,3.3,NA,3,0,3.3,NA
"ALB","Albania",5344,"2017",4428,82.9,274,111,163,16.2,39.9,331,134,16.2,39.9
"ARE","United Arab Emirates",13724,"2019",13724,100,395,390,5,34.7,35.2,395,390,34.7,35.2
"ARG","Argentina",236109,"2020",236109,100,2444,1064,1380,96.6,221.9,2444,1064,96.6,221.9
"ARM","Armenia",7215,"2014",5160,71.5,1384,759,625,3.7,6.8,1935,1061,3.7,6.8
"ATG","Antigua and Barbuda",96,"2020",96,100,6,0,6,16,NA,6,0,16,NA
"AUS","Australia",1570580,"2019",1414187,90,8225,4742,3483,171.9,298.2,9135,5266,171.9,298.2
"AUT","Austria",24414,"2020",2871,11.8,356,179,177,8.1,16,3027,1522,8.1,16
"AZE","Azerbaijan",8798,"2014",3718,42.3,528,312,216,7,11.9,1249,738,7,11.9
"BDI","Burundi",2066,"2019",2066,100,299,273,26,6.9,7.6,299,273,6.9,7.6
"BEL","Belgium",4733,"2017",4124,87.1,76,38,38,54.3,108.5,87,44,54.3,108.5
"BEN","Benin",34415,"2020",12800,37.2,510,492,18,25.1,26,1371,1323,25.1,26
"BFA","Burkina Faso",45403,"2019",41158,90.7,833,777,56,49.4,53,919,857,49.4,53
"BGD","Bangladesh",6456,"2107",6456,100,NA,820,NA,NA,7.9,3372,820,1.9,7.9
"BGR","Bulgaria",45503,"2019",45503,100,346,173,173,131.5,263,346,173,131.5,263
"BHS","Bahamas",4930,"2020",4930,100,27,13,14,182.6,379.2,27,13,182.6,379.2
"BIH","Bosnia and Herzegovina",1858,"2014",862,46.4,163,73,90,5.3,11.8,351,157,5.3,11.8
"BLZ","Belize",8372,"2018",3537,42.3,259,178,81,13.7,19.9,613,421,13.7,19.9
"BOL","Bolivia",336407,"2021",170348,50.6,406,294,112,419.6,579.4,802,581,419.6,579.4
"BRA","Brazil",2584808,"2018",804933,31.1,1692,1501,191,475.7,536.3,5433,4820,475.7,536.3
"BTN","Bhutan",19835,"2021",16407,82.7,403,334,69,40.7,49.1,487,404,40.7,49.1
"BWA","Botswana",169370,"2010, 2014",62417,36.9,1752,371,1381,35.6,168.2,4754,1007,35.6,168.2
"CAF","Central African Republic",112827,"2012",70145,62.2,296,278,18,237,252.3,476,447,237,252.3
"CAN","Canada",1185787,"2013, 2020",968182,81.6,11224,9293,1931,86.3,104.2,13747,11382,86.3,104.2
"CHE","Switzerland",4946,"2020",4750,96,259,NA,NA,18.3,NA,270,270,18.3,18.3
"CHL","Chile",158788,"2020",156226,98.4,511,399,112,305.7,391.5,519,406,305.7,391.5
"CHN","China",1461913,"2016",1461913,100,45000,13000,32000,32.5,112.5,45000,13000,32.5,112.5
"CIV","Cote d'Ivoire",74419,"2019",21067,28.3,484,405,79,43.5,52,1710,1431,43.5,52
"CMR","Cameroon",51538,"2012",38250,74.2,852,776,76,44.9,49.3,1148,1046,44.9,49.3
"COD","Congo, Dem. Rep.",324290,"2012",264157,81.5,3671,NA,NA,72,NA,4507,2452,72,132.3
"COG","Congo, Rep.",126472,"2014",39924,31.6,603,303,300,66.2,131.8,1910,960,66.2,131.8
"COL","Colombia",193618,"2019",178534,92.2,1102,1006,96,162,177.5,1195,1091,162,177.5
"CPV","Cabo Verde",120,"2014",120,100,31,NA,NA,3.9,NA,31,18,3.9,6.7
"CRI","Costa Rica",14673,"2018",12885,87.8,481,409,72,26.8,31.5,548,466,26.8,31.5
