"who","continent","number","number_lwr","number_upr","density","density_lwr","density_upr"
"All personnel","World",555435.5303324693,551041.5000912034,607479.2558275133,37.01915564834729,33.84766500708013,37.31434809646244
"All personnel","Africa",74609.78774056437,72602.26266461355,88984.53530927812,59.598212709864555,49.97059303108331,61.246162816455644
"All personnel","Asia",209978.90068418934,203827.44207071778,255804.8032203306,17.618817833341314,14.462511858362042,18.15054912339249
"All personnel","Europe",122385.24662034214,120905.30899713669,132038.0478445736,27.195927956293197,25.207736742048382,27.528818855082896
"All personnel","Latin America & Caribbean",37787.078118368445,37304.6780194697,41107.475380485506,131.60297772752793,120.97293628401042,133.30478277830454
"All personnel","Northern America",98961.03561760376,98948.80415376369,99062.38465200442,24.466882191452036,24.441850542016084,24.469906642200716
"All personnel","Oceania",11713.481551401243,11475.762903412142,13596.240398082557,144.5363611638992,124.52148170598417,147.5304094594535
"Rangers","World",285794.0338786762,283733.5095456974,314475.4231821845,71.94605874358025,65.38429662304006,72.46854410296002
"Rangers","Africa",58832.02125382707,56689.90840901934,74600.59930061536,75.5814589611902,59.605553329158326,78.43741725454166
"Rangers","Asia",119510.35319116474,118632.87150272279,127406.76551504129,30.956146486173264,29.037547457110808,31.18511718663987
"Rangers","Europe",44744.32016797107,42588.535472742245,61745.42911029677,74.3866559488488,53.90488653102508,78.15202643280018
"Rangers","Latin America & Caribbean",21996.797180454618,21897.047923424165,22728.86594307787,226.07345784043017,218.79191035989658,227.10330713942014
"Rangers","Northern America",33779.10936686331,33775.87965731464,33803.43376280602,71.67945056524255,71.62787120946648,71.68630468150192
"Rangers","Oceania",6931.43271839535,6855.296088786469,7594.083156145308,244.25311025625027,222.939881640612,246.9658462702084
"Non-rangers","World",277434.5264313876,275953.28225892433,365065.241940118,74.11389856368557,56.32350601422845,74.51172235272456
"Non-rangers","Africa",21940.098422199353,21478.16765469643,29857.146391585324,202.6704673075143,148.92950390105577,207.02929930932453
"Non-rangers","Asia",90941.58344284305,87409.06993120308,160289.74382826232,40.68083994078674,23.08057840533955,42.32489835336107
"Non-rangers","Europe",78909.8582851342,76557.27985089646,114474.44910154595,42.17952512312434,29.07531223013373,43.47568717804994
"Non-rangers","Latin America & Caribbean",15819.292891977746,15672.952766447452,18169.819206038217,314.35614941561926,273.689679771134,317.29132819476956
"Non-rangers","Northern America",65178.26855635918,65170.58444515061,65300.20079429848,37.14839399126331,37.079028403407406,37.152774071526196
"Non-rangers","Oceania",4645.424832874024,4568.917269535611,6125.233985839185,364.4497674397979,276.401522605352,370.5525620454232
