"Country/territory","Non-rangers","Rangers","All personnel","Area of PA surveyed","Total PA in country/territory","Year(s) of the data"
"Aruba",34,16,50,36,36,"2018"
"Afghanistan",5,62,67,11481,23384,"2020"
"Angola",44,232,276,87507,87507,"2019"
"Anguilla",3,0,3,10,10,"2020"
"Albania",163,111,274,4428,5344,"2017"
"United Arab Emirates",5,390,395,13724,13724,"2019"
"Argentina",1380,1064,2444,236109,236109,"2020"
"Armenia",625,759,1384,5160,7215,"2014"
"Antigua and Barbuda",6,0,6,96,96,"2020"
"Australia",3483,4742,8225,1414187,1570580,"2019"
"Austria",177,179,356,2871,24414,"2020"
"Azerbaijan",216,312,528,3718,8798,"2014"
"Burundi",26,273,299,2066,2066,"2019"
"Belgium",38,38,76,4124.3,4733,"2017"
"Benin",18,492,510,12800,34415,"2020"
"Burkina Faso",56,777,833,41158,45403,"2019"
"Bangladesh",NA,820,NA,6456,6456,"2107"
"Bulgaria",173,173,346,45503,45503,"2019"
"Bahamas",14,13,27,4930,4930,"2020"
"Bosnia and Herzegovina",90,73,163,862,1858,"2014"
"Belize",81,178,259,3537.42,8372,"2018"
"Bolivia",112,294,406,170348,336407,"2021"
"Brazil",191,1501,1692,804933,2584808,"2018"
"Bhutan",69,334,403,16407,19835,"2021"
"Botswana",1381,371,1752,62417,169370,"2010 + 2014"
"Central African Republic",18,278,296,70145,112827,"2012"
"Canada",1931,9293,11224,968182,1185787,"2013-2020"
"Switzerland",NA,NA,259,4750,4946,"2020"
"Chile",112,399,511,156226,158788,"2020"
"China",32000,13000,45000,1461913,1461913,"2016"
"Cote d'Ivoire",79,405,484,21067,74419,"2019"
"Cameroon",76,776,852,38250,51538,"2012"
"Congo, Dem. Rep.",NA,NA,3671,264157,324290,"2012"
"Congo, Rep.",300,303,603,39924,126472,"2014"
"Colombia",96,1006,1102,178534,193618,"2019"
"Cabo Verde",NA,NA,31,120,120,"2014"
"Costa Rica",72,409,481,12885,14673,"2018"
