"who","type","coef","obs","ncol","PA","total_obs","total_PA","obs_coverage","PA_coverage"
"All personnel","LMM",0,139,11,18593427,244,20561754.35,0.569672131147541,0.9042724022233054
"All personnel","LMM",0.25,139,11,18593427,244,20561754.35,0.569672131147541,0.9042724022233054
"All personnel","LMM",0.5,139,11,18593427,244,20561754.35,0.569672131147541,0.9042724022233054
"All personnel","LMM",0.75,139,10,18593427,244,20561754.35,0.569672131147541,0.9042724022233054
"All personnel","LMM",1,139,10,18593427,244,20561754.35,0.569672131147541,0.9042724022233054
"Rangers","LMM",0,144,11,18871164,244,20561754.35,0.5901639344262295,0.9177798586043315
"Rangers","LMM",0.25,144,9,18871164,244,20561754.35,0.5901639344262295,0.9177798586043315
"Rangers","LMM",0.5,159,7,19691237,244,20561754.35,0.6516393442622951,0.9576632744861091
"Rangers","LMM",0.75,159,7,19691237,244,20561754.35,0.6516393442622951,0.9576632744861091
"Rangers","LMM",1,159,7,19691237,244,20561754.35,0.6516393442622951,0.9576632744861091
"Non-rangers","LMM",0,139,10,18734890,244,20561754.35,0.569672131147541,0.9111523112812598
"Non-rangers","LMM",0.25,139,11,18734890,244,20561754.35,0.569672131147541,0.9111523112812598
"Non-rangers","LMM",0.5,139,10,18734890,244,20561754.35,0.569672131147541,0.9111523112812598
"Non-rangers","LMM",0.75,139,10,18734890,244,20561754.35,0.569672131147541,0.9111523112812598
"Non-rangers","LMM",1,137,10,18613109,244,20561754.35,0.5614754098360656,0.9052296162656956
"All personnel","RF/ETs",0,124,12,18383939,244,20561754.35,0.5081967213114754,0.8940841665098483
"All personnel","RF/ETs",0.25,124,12,18383939,244,20561754.35,0.5081967213114754,0.8940841665098483
"All personnel","RF/ETs",0.5,124,12,18383939,244,20561754.35,0.5081967213114754,0.8940841665098483
"All personnel","RF/ETs",0.75,124,12,18383939,244,20561754.35,0.5081967213114754,0.8940841665098483
"All personnel","RF/ETs",1,132,10,18386871,244,20561754.35,0.5409836065573771,0.8942267613463634
"Rangers","RF/ETs",0,127,14,18547312,244,20561754.35,0.5204918032786885,0.9020296461230701
"Rangers","RF/ETs",0.25,128,11,18660139,244,20561754.35,0.5245901639344263,0.9075168724598638
"Rangers","RF/ETs",0.5,128,12,18660139,244,20561754.35,0.5245901639344263,0.9075168724598638
"Rangers","RF/ETs",0.75,127,14,18638328,244,20561754.35,0.5204918032786885,0.9064561166688581
"Rangers","RF/ETs",1,127,13,18638328,244,20561754.35,0.5204918032786885,0.9064561166688581
"Non-rangers","RF/ETs",0,132,10,18019517,244,20561754.35,0.5409836065573771,0.8763608733609833
"Non-rangers","RF/ETs",0.25,125,11,17812961,244,20561754.35,0.5122950819672131,0.8663152324840414
"Non-rangers","RF/ETs",0.5,125,11,17812961,244,20561754.35,0.5122950819672131,0.8663152324840414
"Non-rangers","RF/ETs",0.75,124,12,17770263,244,20561754.35,0.5081967213114754,0.8642386587018047
"Non-rangers","RF/ETs",1,124,12,17770263,244,20561754.35,0.5081967213114754,0.8642386587018047
