"who","type","coef","obs","ncol","PA","total_obs","total_PA","obs_coverage","PA_coverage"
"Rangers","LMM",0,138,12,19267336,249,20570541.35,0.5542168674698795,0.9366470075907846
"Rangers","LMM",0.25,155,9,19600439,249,20570541.35,0.6224899598393574,0.9528402129290583
"Rangers","LMM",0.5,155,9,19600439,249,20570541.35,0.6224899598393574,0.9528402129290583
"Rangers","LMM",0.75,155,9,19600439,249,20570541.35,0.6224899598393574,0.9528402129290583
"Rangers","LMM",1,155,8,19600439,249,20570541.35,0.6224899598393574,0.9528402129290583
"Others","LMM",0,123,14,18086449,249,20570541.35,0.4939759036144578,0.879240302540701
"Others","LMM",0.25,123,14,18086449,249,20570541.35,0.4939759036144578,0.879240302540701
"Others","LMM",0.5,123,14,18086449,249,20570541.35,0.4939759036144578,0.879240302540701
"Others","LMM",0.75,123,14,18086449,249,20570541.35,0.4939759036144578,0.879240302540701
"Others","LMM",1,123,14,18086449,249,20570541.35,0.4939759036144578,0.879240302540701
"All","LMM",0,148,5,18995613,249,20570541.35,0.5943775100401606,0.9234376809436762
"All","LMM",0.25,148,5,18995613,249,20570541.35,0.5943775100401606,0.9234376809436762
"All","LMM",0.5,148,5,18995613,249,20570541.35,0.5943775100401606,0.9234376809436762
"All","LMM",0.75,148,7,18995613,249,20570541.35,0.5943775100401606,0.9234376809436762
"All","LMM",1,148,7,18995613,249,20570541.35,0.5943775100401606,0.9234376809436762
"Rangers","RF",0,140,9,18780366,249,20570541.35,0.5622489959839357,0.9129738338169695
"Rangers","RF",0.25,125,12,18569562,249,20570541.35,0.5020080321285141,0.9027259751722576
"Rangers","RF",0.5,125,12,18569562,249,20570541.35,0.5020080321285141,0.9027259751722576
"Rangers","RF",0.75,133,11,18573810,249,20570541.35,0.5341365461847389,0.9029324840787429
"Rangers","RF",1,133,9,18573810,249,20570541.35,0.5341365461847389,0.9029324840787429
"Others","RF",0,127,8,17692610,249,20570541.35,0.5100401606425703,0.8600945254170473
"Others","RF",0.25,127,8,17692610,249,20570541.35,0.5100401606425703,0.8600945254170473
"Others","RF",0.5,127,8,17692610,249,20570541.35,0.5100401606425703,0.8600945254170473
"Others","RF",0.75,127,8,17692610,249,20570541.35,0.5100401606425703,0.8600945254170473
"Others","RF",1,127,8,17692610,249,20570541.35,0.5100401606425703,0.8600945254170473
"All","RF",0,133,8,18174456,249,20570541.35,0.5341365461847389,0.8835186051143957
"All","RF",0.25,126,11,17967900,249,20570541.35,0.5060240963855421,0.8734772553761693
"All","RF",0.5,126,11,17967900,249,20570541.35,0.5060240963855421,0.8734772553761693
"All","RF",0.75,119,12,17965189,249,20570541.35,0.4779116465863454,0.8733454649699823
"All","RF",1,118,14,17943378,249,20570541.35,0.4738955823293173,0.8722851622959353
